run_id,status,param_max_features,param_C,param_ngram_range,metric_accuracy,metric_f1,metric_cv_f1
4fffeffda10a4e5dacf63c7717299c20,FINISHED,5000,0.013525523212128953,"(1, 3)",0.7829855298887773,0.8347730040499589,
aa169e46999c4d89a43abe01301d19d0,FINISHED,15000,92.99059302086661,"(1, 2)",,,0.8350085751640819
e4b08846326d439e8489adb105232242,FINISHED,10000,2.3397600527646043,"(1, 3)",,,0.8324386364646064
f9e7017b5f554860804406e59418a4d8,FINISHED,5000,0.13698301893614875,"(1, 2)",,,0.8120037131916318
a0965cf6f60945adaf6455e62ec63131,FINISHED,15000,2.4185041751641876,"(1, 1)",,,0.8230734451589481
0f50183480314825ae58a8d18eb82b0b,FINISHED,5000,0.36014626321524507,"(1, 1)",,,0.8121214904320576
72c46147c79843f1865e3362dc279c54,FINISHED,5000,0.005680937606637813,"(1, 1)",,,0.7715359184708429
df75d3ab36e24d028405780f970a91cd,FINISHED,5000,0.017133616121588213,"(1, 3)",,,0.7887126807345661
f7a0bd3fb23f40f6984e4125092ffbd7,FINISHED,5000,0.0011945183652868913,"(1, 2)",,,0.7553205071385886
ac857f0d8b164259a22218486b288a42,FINISHED,5000,3.595340162669966,"(1, 2)",,,0.82099882992076
c4270f2baebb4df99afe122b0dadf756,FINISHED,5000,1.0,"(1, 2)",,,0.8216393016060891
0584e77470f949d495ee02e4437503d8,FINISHED,5000,0.013525523212128953,"(1, 3)",0.7829855298887773,0.8347730040499589,
1a3610c4a887491b8dbf58d67c0cff80,FINISHED,5000,0.013525523212128953,"(1, 3)",,,0.7854300801517822
c92da99dde9248d3901c9f1bde6865b7,FINISHED,20000,0.12507649793155673,"(1, 2)",,,0.8172781076530503
9dd4a8799d8846a0bd0f92e5befb09cc,FINISHED,5000,5.655420906156827,"(1, 2)",,,0.8205228971797791
7bbd8ca373394703b0e2173ab73ff110,FINISHED,10000,0.01950122841167376,"(1, 3)",,,0.7912827810474768
fa39afc01a0846c19395f96cf08128d4,FINISHED,10000,7.394018040970578,"(1, 1)",,,0.8196316095598297
7eb00ea1159842279745eb416909dfc5,FINISHED,10000,72.0164268174277,"(1, 1)",,,0.8157420921566529
e1dec27f212944ee9bd7463c9f66dd2d,FINISHED,20000,17.060559814366247,"(1, 2)",,,0.8462515974096508
e01183e573144b138c6e4fec803c0769,FINISHED,10000,0.2549386333703109,"(1, 1)",,,0.8128211567204623
b672eaec1bc840b4a9aa481d2661564c,FINISHED,20000,0.010398444725720367,"(1, 2)",,,0.7802442944089165
5e5029443af5416790705b9a2f4f97d7,FINISHED,15000,0.030720067932781016,"(1, 3)",,,0.7977841687333259
